Location,locationName,locationUsage,Inactive,Location_Type,Primary_Address
L-ISU-580-22525,0495B CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0495B Carver
L-ISU-580-22526,0495C CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0495C Carver
L-ISU-580-3864,0496 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0496 Carver
L-ISU-534-5135,0496 DESIGN - College Of Design,Business Asset,0,Laboratory Facilities,0496 Design
L-ISU-235-17607,0496 TOWN - Town Engineering Building,Work Space; Business Asset,0,Office Facilities,0496 Town Engr
L-ISU-580-3865,0497 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0497 Carver
L-ISU-534-5174,0497 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0497 Design
L-ISU-235-17608,0497 TOWN - Town Engineering Building,Work Space; Business Asset,0,Office Facilities,0497 Town Engr
L-ISU-235-17609,0498 TOWN - Town Engineering Building,Work Space; Business Asset,0,Office Facilities,0498 Town Engr
L-ISU-580-3866,0499 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0499 Carver
L-ISU-534-5175,0499 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0499 Design
L-ISU-462-7978,0499 HELSER - Helser Residence,Work Space; Business Asset,0,Office Facilities,0499 Helser
L-ISU-625-3037,0500 BESSEY - Bessey Hall,Business Asset,0,Other,0500 Bessey
L-ISU-626-3291,0500 BEYER - Beyer Hall,Business Asset,0,Other,0500 Beyer
L-ISU-580-3867,0500 CARVER - Carver Hall,Business Asset,0,Other,0500 Carver
L-ISU-405-9977,0500 LAGOMAR - Lagomarcino Hall,Business Asset,0,Other,0500 Lagomarcino
L-ISU-390-23755,0500 MEM UN - Memorial Union,Business Asset,0,Other,0500 Memorial Union
L-ISU-235-17610,0500 TOWN - Town Engineering Building,Business Asset,0,Other,0500 Town Engr
L-ISU-625-3038,0501 BESSEY - Bessey Hall,Business Asset,0,Special Use Facilities,0501 Bessey
L-ISU-580-3868,0501 CARVER - Carver Hall,Business Asset,0,Other,0501 Carver
L-ISU-260-14655,0501 ROSS H - Ross Hall,Work Space; Business Asset,0,Office Facilities,0501 Ross
L-ISU-625-3039,0501A BESSEY - Bessey Hall,Business Asset,0,Special Use Facilities,0501A Bessey
L-ISU-625-3040,0501A1 BESSEY - Bessey Hall,Business Asset,0,Special Use Facilities,0501A1 Bessey
L-ISU-625-3041,0501A2 BESSEY - Bessey Hall,Business Asset,0,Special Use Facilities,0501A2 Bessey
L-ISU-625-3042,0501A3 BESSEY - Bessey Hall,Business Asset,0,Special Use Facilities,0501A3 Bessey
L-ISU-625-3043,0501A4 BESSEY - Bessey Hall,Business Asset,0,Special Use Facilities,0501A4 Bessey
L-ISU-625-3044,0502 BESSEY - Bessey Hall,Business Asset,0,Special Use Facilities,0502 Bessey
L-ISU-390-23754,0502 MEM UN - Memorial Union,Business Asset,0,Other,0502 Memorial Union
L-ISU-269-22529,0502 SCI 2 - Science Hall Addition No. 2,Work Space; Business Asset,0,Office Facilities,0502 Science 2
L-ISU-269-22530,0502A SCI 2 - Science Hall Addition No. 2,Work Space; Business Asset,0,Office Facilities,0502A Science 2
L-ISU-625-3045,0503 BESSEY - Bessey Hall,Business Asset,0,Special Use Facilities,0503 Bessey
L-ISU-534-5176,0503 DESIGN - College Of Design,Business Asset,0,Laboratory Facilities,0503 Design
L-ISU-260-14656,0503 ROSS H - Ross Hall,Work Space; Business Asset,0,Office Facilities,0503 Ross
L-ISU-269-15298,0503 SCI 2 - Science Hall Addition No. 2,Work Space; Business Asset,0,Office Facilities,0503 Science 2
L-ISU-625-3046,0503A BESSEY - Bessey Hall,Business Asset,0,Special Use Facilities,0503A Bessey
L-ISU-625-3047,0504 BESSEY - Bessey Hall,Work Space; Business Asset,0,Special Use Facilities; Office Facilities,0504 Bessey
L-ISU-260-14657,0504 ROSS H - Ross Hall,Business Asset,0,,0504 Ross
L-ISU-269-15299,0504 SCI 2 - Science Hall Addition No. 2,Business Asset,0,Laboratory Facilities,0504 Science 2
L-ISU-625-3048,0504A BESSEY - Bessey Hall,Work Space; Business Asset,0,Special Use Facilities; Office Facilities,0504A Bessey
